./experiments/25Jul_fullimg__graham/ not exist
Create ./experiments/25Jul_fullimg__graham/ success
./experiments/25Jul_fullimg__graham/log not exist
Create ./experiments/25Jul_fullimg__graham/log success
./experiments/25Jul_fullimg__graham/trained_models not exist
Create ./experiments/25Jul_fullimg__graham/trained_models success
Epoch [119/300], Step [100/206], Loss: 0.2319, Accuracy: 0.00%
Epoch [119/300], Step [200/206], Loss: 0.2719, Accuracy: 0.00%
Epoch [120/300], Step [100/206], Loss: 0.1501, Accuracy: 0.00%
Epoch [120/300], Step [200/206], Loss: 0.3260, Accuracy: 0.00%
Epoch [121/300], Step [100/206], Loss: 0.1962, Accuracy: 0.00%
Epoch [121/300], Step [200/206], Loss: 0.5265, Accuracy: 0.00%
Epoch [122/300], Step [100/206], Loss: 0.2931, Accuracy: 0.00%
Epoch [122/300], Step [200/206], Loss: 0.2007, Accuracy: 0.00%
Epoch [123/300], Step [100/206], Loss: 0.2824, Accuracy: 0.00%
Epoch [123/300], Step [200/206], Loss: 0.3338, Accuracy: 0.00%
Epoch [124/300], Step [100/206], Loss: 0.2136, Accuracy: 0.00%
Epoch [124/300], Step [200/206], Loss: 0.2848, Accuracy: 0.00%
Epoch [125/300], Step [100/206], Loss: 0.2898, Accuracy: 0.00%
Epoch [125/300], Step [200/206], Loss: 0.5178, Accuracy: 0.00%
Epoch [126/300], Step [100/206], Loss: 0.1153, Accuracy: 0.00%
Epoch [126/300], Step [200/206], Loss: 0.2546, Accuracy: 0.00%
Epoch [127/300], Step [100/206], Loss: 0.3951, Accuracy: 0.00%
Epoch [127/300], Step [200/206], Loss: 0.2208, Accuracy: 0.00%
Epoch [128/300], Step [100/206], Loss: 0.3386, Accuracy: 0.00%
Epoch [128/300], Step [200/206], Loss: 0.2620, Accuracy: 0.00%
Epoch [129/300], Step [100/206], Loss: 0.2688, Accuracy: 0.00%
Epoch [129/300], Step [200/206], Loss: 0.2176, Accuracy: 0.00%
Epoch [130/300], Step [100/206], Loss: 0.3247, Accuracy: 0.00%
Epoch [130/300], Step [200/206], Loss: 0.1903, Accuracy: 0.00%
Epoch [131/300], Step [100/206], Loss: 0.4519, Accuracy: 0.00%
Epoch [131/300], Step [200/206], Loss: 0.2802, Accuracy: 0.00%
Epoch [132/300], Step [100/206], Loss: 0.1204, Accuracy: 0.00%
Epoch [132/300], Step [200/206], Loss: 0.2423, Accuracy: 0.00%
Epoch [133/300], Step [100/206], Loss: 0.2774, Accuracy: 0.00%
Epoch [133/300], Step [200/206], Loss: 0.3725, Accuracy: 0.00%
Epoch [134/300], Step [100/206], Loss: 0.3131, Accuracy: 0.00%
Epoch [134/300], Step [200/206], Loss: 0.3580, Accuracy: 0.00%
Epoch [135/300], Step [100/206], Loss: 0.2136, Accuracy: 0.00%
Epoch [135/300], Step [200/206], Loss: 0.3326, Accuracy: 0.00%
Epoch [136/300], Step [100/206], Loss: 0.2060, Accuracy: 0.00%
Epoch [136/300], Step [200/206], Loss: 0.1314, Accuracy: 0.00%
Epoch [137/300], Step [100/206], Loss: 0.2876, Accuracy: 0.00%
Epoch [137/300], Step [200/206], Loss: 0.2551, Accuracy: 0.00%
Epoch [138/300], Step [100/206], Loss: 0.2379, Accuracy: 0.00%
Epoch [138/300], Step [200/206], Loss: 0.2686, Accuracy: 0.00%
Epoch [139/300], Step [100/206], Loss: 0.3496, Accuracy: 0.00%
Epoch [139/300], Step [200/206], Loss: 0.3450, Accuracy: 0.00%
Epoch [140/300], Step [100/206], Loss: 0.2884, Accuracy: 0.00%
Epoch [140/300], Step [200/206], Loss: 0.1385, Accuracy: 0.00%
Epoch [141/300], Step [100/206], Loss: 0.1299, Accuracy: 0.00%
Epoch [141/300], Step [200/206], Loss: 0.2371, Accuracy: 0.00%
Epoch [142/300], Step [100/206], Loss: 0.0886, Accuracy: 0.00%
Epoch [142/300], Step [200/206], Loss: 0.3041, Accuracy: 0.00%
Epoch [143/300], Step [100/206], Loss: 0.2957, Accuracy: 0.00%
Epoch [143/300], Step [200/206], Loss: 0.0428, Accuracy: 0.00%
Epoch [144/300], Step [100/206], Loss: 0.1680, Accuracy: 0.00%
Epoch [144/300], Step [200/206], Loss: 0.1220, Accuracy: 0.00%
Epoch [145/300], Step [100/206], Loss: 0.2481, Accuracy: 0.00%
Epoch [145/300], Step [200/206], Loss: 0.2855, Accuracy: 0.00%
Epoch [146/300], Step [100/206], Loss: 0.2879, Accuracy: 0.00%
Epoch [146/300], Step [200/206], Loss: 0.1697, Accuracy: 0.00%
Epoch [147/300], Step [100/206], Loss: 0.2944, Accuracy: 0.00%
Epoch [147/300], Step [200/206], Loss: 0.1674, Accuracy: 0.00%
Epoch [148/300], Step [100/206], Loss: 0.2091, Accuracy: 0.00%
Epoch [148/300], Step [200/206], Loss: 0.2615, Accuracy: 0.00%
Epoch [149/300], Step [100/206], Loss: 0.1773, Accuracy: 0.00%
